character,action,zeroindex
character,action,zeroindex
10,322,False
10,323,False
10,324,False
10,29,False
10,42,True
10,14,False
10,24,False
10,25,False
10,27,False
10,32,True
10,26,False
10,15,False
10,20,False
10,18,False
10,16,False
10,245,False
10,246,False
10,236,False
10,43,False
10,178,False
10,180,False
10,39,False
10,244,True
10,35,False
10,68,False
10,56,False
10,21,False
10,63,False
10,67,False
10,72,False
10,57,False
10,41,False
10,50,False
10,69,False
10,74,False
10,179,False
10,40,False
10,354,False
10,356,False
10,358,False
10,0,False
10,12,False
10,13,False
10,233,False
10,182,False
10,64,False
10,212,False
10,213,False
10,216,True
10,222,False
10,234,False
10,28,False
10,350,False
10,351,False
10,352,False
10,17,False
10,60,False
10,65,False
10,181,True
10,79,False
10,84,False
10,226,False
10,227,True
10,228,True
10,65535,True
10,360,False
10,361,False
10,364,True
10,363,False
10,239,False
10,88,False
10,183,False
10,186,False
10,73,False
10,75,False
10,362,True
10,78,False
10,252,False
10,253,False
10,257,False
