character,action,zeroindex
7,322,False
7,323,False
7,324,False
7,29,False
7,42,False
7,20,False
7,18,False
7,24,False
7,25,False
7,65,False
7,70,False
7,178,False
7,179,False
7,68,False
7,86,False
7,27,False
7,69,False
7,74,False
7,26,False
7,66,False
7,85,False
7,181,True
7,71,False
7,73,False
7,28,False
7,67,False
7,14,False
7,236,False
7,35,False
7,0,False
7,12,False
7,354,False
7,15,False
7,16,False
7,17,False
7,72,False
7,21,False
7,252,False
7,253,False
7,43,False
7,80,False
7,23,False
7,88,False
7,183,False
7,184,False
7,189,False
7,348,False
7,349,False
7,200,False
7,83,False
7,180,True
7,350,True
7,233,False
7,89,False
7,199,False
7,32,False
7,359,False
7,361,False
7,191,False
7,192,False
7,50,False
7,90,False
7,197,False
7,40,False
7,41,False
7,195,False
7,262,False
7,263,False
7,44,False
7,45,False
7,212,False
7,214,False
7,213,False
7,216,True
7,222,True
7,19,False
