character,action,zeroindex
16,322,False
16,323,True
16,324,False
16,29,True
16,42,True
16,14,True
16,15,False
16,20,False
16,21,True
16,24,True
16,25,True
16,65,False
16,85,False
16,182,False
16,251,True
16,191,True
16,197,False
16,347,False
16,349,True
16,346,False
16,60,False
16,214,True
16,178,False
16,180,True
16,179,False
16,181,True
16,83,False
16,233,False
16,350,False
16,18,False
16,358,False
16,108,False
16,234,False
16,359,False
16,27,True
16,100,False
16,28,True
16,67,False
16,86,False
16,236,False
16,43,True
16,79,False
16,70,True
16,16,False
16,53,False
16,56,False
16,66,False
16,71,True
16,50,False
16,72,True
16,356,False
16,264,True
16,39,False
16,244,True
16,110,False
16,17,False
16,68,False
16,73,True
16,63,False
16,26,True
16,90,False
16,199,True
16,341,False
16,115,False
16,353,False
16,40,True
16,344,False
16,345,False
16,44,False
16,245,True
