character,action,zeroindex
character,action,zeroindex
10,322,False
10,323,False
10,324,False
10,29,False
10,42,True
10,14,False
10,15,False
10,20,False
10,24,False
10,25,False
10,344,False
10,345,False
10,21,False
10,26,False
10,67,False
10,182,False
10,179,False
10,181,True
10,234,False
10,69,False
10,74,False
10,178,False
10,251,True
10,28,False
10,86,False
10,233,False
10,18,False
10,23,False
10,245,False
10,246,False
10,39,False
10,360,False
10,364,True
10,361,False
10,363,False
10,27,False
10,350,False
10,351,False
10,352,False
10,43,False
