character,action,zeroindex
16,322,False
16,323,True
16,324,False
16,29,True
16,42,True
16,15,False
16,20,False
16,350,False
16,14,True
16,16,False
16,24,True
16,25,True
16,65,False
16,70,True
16,178,False
16,179,False
16,180,True
16,63,False
16,235,False
16,39,False
16,244,True
16,67,False
16,72,True
16,18,False
16,26,True
16,27,True
16,357,False
16,35,True
16,43,True
16,344,False
16,346,True
16,359,False
16,358,False
16,28,True
16,103,False
16,356,False
16,21,True
16,353,False
16,252,False
16,253,True
16,255,False
16,90,False
character,action,zeroindex
